category,release_month,count
long sleeve,2016-12,18
short sleeves,2016-12,9
solid colours,2016-12,8
culottes,2016-12,7
sleeveless,2016-12,6
short coat,2016-12,4
doll dress,2016-12,3
long dress,2016-12,3
medium coat,2016-12,3
long cardigan,2016-12,2
miniskirt,2016-12,2
short cardigan,2016-12,2
trapeze dress,2016-12,2
printed,2016-12,1
sheath dress,2016-12,1
long sleeve,2017-01,33
culottes,2017-01,29
solid colours,2017-01,26
sleeveless,2017-01,13
printed,2017-01,9
trapeze dress,2017-01,8
short coat,2017-01,7
sheath dress,2017-01,6
patterned,2017-01,4
short sleeves,2017-01,4
tracksuit,2017-01,3
doll dress,2017-01,2
drop sleeve,2017-01,1
long coat,2017-01,1
miniskirt,2017-01,1
short cardigan,2017-01,1
shorts,2017-01,1
long sleeve,2017-02,44
culottes,2017-02,33
short coat,2017-02,21
solid colours,2017-02,15
sleeveless,2017-02,10
sheath dress,2017-02,9
doll dress,2017-02,8
patterned,2017-02,7
short sleeves,2017-02,7
long coat,2017-02,2
medium coat,2017-02,2
kimono dress,2017-02,1
long cardigan,2017-02,1
long dress,2017-02,1
miniskirt,2017-02,1
tracksuit,2017-02,1
culottes,2017-03,42
long sleeve,2017-03,40
solid colours,2017-03,23
sleeveless,2017-03,22
short sleeves,2017-03,18
printed,2017-03,13
trapeze dress,2017-03,9
patterned,2017-03,8
doll dress,2017-03,6
kimono dress,2017-03,4
long coat,2017-03,4
medium coat,2017-03,4
sheath dress,2017-03,4
drop sleeve,2017-03,3
miniskirt,2017-03,3
shirt dress,2017-03,3
short coat,2017-03,3
long dress,2017-03,2
maxi,2017-03,2
medium cardigan,2017-03,2
tracksuit,2017-03,2
long cardigan,2017-03,1
solid colours,2017-04,30
long sleeve,2017-04,25
culottes,2017-04,24
sleeveless,2017-04,20
short sleeves,2017-04,17
printed,2017-04,14
drop sleeve,2017-04,8
kimono dress,2017-04,8
patterned,2017-04,7
sheath dress,2017-04,6
doll dress,2017-04,5
long dress,2017-04,4
shirt dress,2017-04,4
short coat,2017-04,3
shorts,2017-04,3
medium cardigan,2017-04,1
miniskirt,2017-04,1
tracksuit,2017-04,1
patterned,2017-05,24
sleeveless,2017-05,23
culottes,2017-05,20
solid colours,2017-05,19
long dress,2017-05,13
long sleeve,2017-05,12
short sleeves,2017-05,12
drop sleeve,2017-05,10
shorts,2017-05,10
tracksuit,2017-05,6
capris,2017-05,5
sheath dress,2017-05,4
short coat,2017-05,3
trapeze dress,2017-05,3
maxi,2017-05,2
shirt dress,2017-05,2
doll dress,2017-05,1
kimono dress,2017-05,1
medium cardigan,2017-05,1
printed,2017-05,1
sleeveless,2017-06,17
culottes,2017-06,13
long dress,2017-06,9
patterned,2017-06,5
solid colours,2017-06,5
tracksuit,2017-06,4
kimono dress,2017-06,3
printed,2017-06,3
long sleeve,2017-06,2
short sleeves,2017-06,2
trapeze dress,2017-06,2
sheath dress,2017-06,1
culottes,2017-07,31
long sleeve,2017-07,27
sleeveless,2017-07,19
printed,2017-07,14
solid colours,2017-07,14
